replication,delta_E
990,-0.0875302926245869
991,-0.20321540361738386
992,-0.2911691764434206
993,-0.10519540561240208
994,-0.30091736937240304
995,-0.1387896607786171
996,-0.33281244552679595
997,-0.2159525574374356
998,-0.3683653171103267
999,-0.2679774919522323
1000,-0.06114632625112905
1001,-0.19668936292764946
1002,-0.42868984601551413
1003,-0.2554441081001117
1004,-0.28991348698731956
1005,-0.3339813382198885
1006,-0.488799277850531
1007,-0.3915702458678996
1008,-0.07330297955489375
1009,-0.11754113681894893
1010,-0.2610050557795599
1011,-0.1817556117073135
1012,-0.21218007685700707
1013,-0.1862010970298641
1014,-0.1461403320074753
1015,-0.16386739804151398
1016,-0.10841417092076755
1017,-0.3673403918589599
1018,-0.14446733646596951
1019,-0.08318717412209588
1020,-0.38685200498964106
1021,-0.29645877719985736
1022,-0.28578605987507333
1023,-0.3127781240807704
1024,-0.23180944048117427
1025,-0.3842043825870035
1026,-0.3634479977574699
1027,-0.20387353171047948
1028,-0.160804945389108
1029,-0.48294795765413917
1030,-0.17787632739637244
1031,-0.26161563583050135
1032,-0.22220846413373685
1033,-0.1457800204374905
1034,-0.2597313072059898
1035,-0.1487103630007265
1036,-0.3553941240814065
1037,-0.22456067134105775
1038,-0.009858097447206967
1039,-0.33270234254462544
1040,-0.25039473589771616
1041,-0.18639741855416683
1042,-0.05234609658619001
1043,-0.24101838202720832
1044,-0.3241460677238994
1045,-0.13922292528668118
1046,-0.3019527713911174
1047,-0.44154571221496314
1048,-0.3329385418471936
1049,-0.3097362178007946
1050,-0.3090078046213436
1051,-0.17127637486100078
1052,-0.2373455095411589
1053,-0.10821004742510855
1054,-0.24096394915926173
1055,-0.42908395865864546
1056,-0.10356082396836047
1057,-0.30620856466022484
1058,-0.23222407109414128
1059,-0.2795153500658066
1060,-0.17024765083040536
1061,-0.33039489793693266
1062,-0.32266234630564894
1063,-0.43968836524759264
1064,-0.22539821416243996
1065,0.011474348507029544
1066,-0.32518963409790913
1067,-0.2676748388426192
1068,-0.26892534531778883
1069,-0.2853411369852552
1070,-0.2139603886182251
1071,-0.15304297446668658
1072,-0.15003243798270907
1073,-0.34752652509853166
1074,0.02773532829200768
1075,-0.19975151944556604
1076,-0.2248480236666585
1077,-0.242599733327919
1078,-0.21969446305764564
1079,-0.28535030362619995
1080,-0.28206820801371524
1081,-0.10518041832745313
1082,-0.09345568391156321
1083,-0.22910124892118802
1084,-0.25097290184344173
1085,-0.11390166916171036
1086,-0.0010646586932277673
1087,-0.3099734875294216
1088,-0.05498191125657634
1089,-0.20784620063353104
1090,-0.37441715707838663
1091,-0.38319283851149
1092,-0.16849200541313306
1093,-0.15318408668224903
1094,-0.25255211357912216
1095,-0.11986840321218714
1096,-0.2826218206432516
1097,-0.289390687621692
1098,-0.43932790528333654
1099,-0.2870505843711403
1100,-0.33815617379934343
1101,-0.28240688618870924
1102,-0.21778951668932958
1103,-0.19325166126583518
1104,-0.15953707602913275
1105,-0.007376408183859625
1106,-0.3666636251422965
1107,-0.3032513682090789
1108,-0.3090117369539523
1109,-0.3905594060584615
1110,-0.3225102534670876
1111,-0.27047996435005617
1112,-0.24571466331132347
1113,-0.36336365103748014
1114,-0.3960744255759314
1115,-0.19932091011487565
1116,-0.4037414538233841
1117,-0.08752538240140222
1118,-0.10041565803336384
1119,-0.40780005331075614
1120,-0.4546983021160846
1121,-0.16794107722702936
1122,0.015112989573022323
1123,-0.39547886387173803
1124,-0.4809935732038634
1125,-0.3252694640456144
1126,-0.32027325297949416
1127,-0.34092990498654563
1128,-0.2766292396343123
1129,-0.3813649158947895
1130,-0.05913142019891567
1131,-0.24949746529016625
1132,-0.11309109857763372
1133,-0.3120359396949001
1134,-0.22916997918123055
1135,-0.23676359232093697
1136,-0.2981196526581291
1137,-0.1853969485483095
1138,-0.09638030733921316
1139,-0.1862306719930924
1140,-0.2898555061383398
1141,-0.23058000829159755
1142,-0.3993807816198785
1143,-0.16990149644370284
1144,-0.16789602428600955
1145,-0.22320102208875087
1146,-0.08513665259247945
1147,-0.3601854420129104
1148,-0.3873208687273097
1149,-0.19340978972695264
1150,-0.06785163581335305
1151,-0.28620307076015533
1152,-0.05092524503797018
1153,-0.02013314719220394
1154,-0.28571362661799454
1155,-0.10011910378140622
1156,-0.23755618637247283
