Date,TAN ret,SPY ret,p,Δp
2024-09-10,-0.0018339205193309,0.0043558015072699,0.5195,-0.003
2024-09-11,0.0627297681523191,0.010259077279622,0.496,-0.0234999999999999
2024-09-12,-0.0111139051963105,0.0084230090073298,0.491,-0.005
2024-09-13,0.0134865747487531,0.0052227838315084,0.491,0.0
2024-09-16,-0.0002464699020006,0.001477038203772,0.4945,0.0035
2024-09-17,0.0219373549423587,0.0004086225235933,0.4815,-0.013
2024-09-18,-0.0002411460651674,-0.0029658249921354,0.4675,-0.0139999999999999
2024-09-19,-0.0074789034160178,0.0170642675392951,0.4715,0.0039999999999999
2024-09-20,-0.0116674675762091,-0.0017286028901163,0.479,0.0075
2024-09-23,0.0068863535287717,0.0024989046670664,0.4825,0.0035
2024-09-24,0.0139228146058694,0.0028612684971582,0.481,-0.0015
2024-09-25,-0.0224041876364797,-0.0022055740216547,0.4885,0.0075
2024-09-26,0.0335139551182936,0.0039648002143466,0.4885,0.0
2024-09-27,0.0252742355006732,-0.0014503989358952,0.4855,-0.003
2024-09-30,0.0025581412350008,0.0040073067813788,0.4885,0.003
2024-10-01,-0.0102064553856179,-0.0089583874338092,0.4825,-0.006
2024-10-02,-0.0051558506524682,0.0004219641312961,0.4925,0.01
2024-10-03,-0.0190812685107955,-0.0018280684887858,0.4965,0.004
2024-10-04,0.0117675642074701,0.0090872042734146,0.4975,0.001
2024-10-07,0.0180393719810059,-0.0090403754517062,0.5385,0.0409999999999999
2024-10-08,-0.0547912575245502,0.009457551379381,0.529,-0.0094999999999999
2024-10-09,-0.0120868607835603,0.006926374276988,0.5335,0.0044999999999999
2024-10-10,-0.0369538569981022,-0.0017499289570287,0.5545,0.021
2024-10-11,0.0194451868488632,0.0059882337105328,0.5405,-0.014
2024-10-14,-0.011190241317121,0.0081782395376439,0.5505,0.01
2024-10-15,-0.0352366757779368,-0.0077698163523149,0.5765,0.026
2024-10-16,0.0063983912756382,0.0043467372504284,0.5855,0.009
2024-10-17,-0.0193377787693684,8.579044880607789e-05,0.6185,0.033
2024-10-18,0.0086439347740339,0.0038464409965299,0.5995,-0.019
2024-10-21,-0.0117835155419205,-0.0016421734696497,0.6485,0.0489999999999999
2024-10-22,0.0102980335518252,-0.0005311796703227,0.6475,-0.001
2024-10-23,-0.0064377631649711,-0.0091373657810248,0.6155,-0.0319999999999999
2024-10-24,0.0045896076255484,0.0021626945959039,0.6405,0.0249999999999999
2024-10-25,0.0467616645568882,-0.0003452972949489,0.6385,-0.002
2024-10-28,0.0238768073078317,0.0030913222881787,0.6585,0.02
2024-10-29,-0.0358575943395637,0.0016183796278272,0.6655,0.007
2024-10-30,0.0111833166813744,-0.0030252091843017,0.647,-0.0184999999999999
2024-10-31,0.0244341905131699,-0.019602978866671,0.6325,-0.0145
2024-11-01,-0.0010042512726387,0.0042202592599895,0.5815,-0.0509999999999999
2024-11-04,0.0324201909244044,-0.0021538928400679,0.5855,0.004
2024-11-05,0.0172833858627621,0.0120919242037547,0.5825,-0.003
2024-11-06,-0.1086385279290493,0.024865485130566,0.9975,0.415
